localidade,serie,nome,id,populacao,latitude,longitude
"{'id': '4120804', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Quatro Barras - PR'}",{'2021': '24253'},Quatro Barras - PR,4120804,24253,-25.36865472759969,-48.994367654360076
"{'id': '4120853', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Quatro Pontes - PR'}",{'2021': '4043'},Quatro Pontes - PR,4120853,4043,-24.571741902796703,-53.9765344297988
"{'id': '4120903', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Quedas do Iguaçu - PR'}",{'2021': '34707'},Quedas do Iguaçu - PR,4120903,34707,-25.457414628075963,-52.95499893531401
"{'id': '4121000', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Querência do Norte - PR'}",{'2021': '12257'},Querência do Norte - PR,4121000,12257,-23.04243648150589,-53.52146901432576
"{'id': '4121109', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Quinta do Sol - PR'}",{'2021': '4444'},Quinta do Sol - PR,4121109,4444,-23.829706924873147,-52.14040769809422
"{'id': '4121208', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Quitandinha - PR'}",{'2021': '19388'},Quitandinha - PR,4121208,19388,-25.910519486935613,-49.48147218090846
"{'id': '4121257', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Ramilândia - PR'}",{'2021': '4500'},Ramilândia - PR,4121257,4500,-25.094361953108802,-54.07607144831077
"{'id': '4121307', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rancho Alegre - PR'}",{'2021': '3760'},Rancho Alegre - PR,4121307,3760,-23.079955275681773,-50.919374748460925
"{'id': '4121356', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': ""Rancho Alegre D'Oeste - PR""}",{'2021': '2602'},Rancho Alegre D'Oeste - PR,4121356,2602,-24.290488647748532,-52.96082378063296
"{'id': '4121406', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Realeza - PR'}",{'2021': '16976'},Realeza - PR,4121406,16976,-25.67440079044885,-53.54352807220634
"{'id': '4121505', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rebouças - PR'}",{'2021': '14991'},Rebouças - PR,4121505,14991,-25.658530991934086,-50.620924922432685
"{'id': '4121604', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Renascença - PR'}",{'2021': '6772'},Renascença - PR,4121604,6772,-26.225142141867657,-52.950884584173714
"{'id': '4121703', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Reserva - PR'}",{'2021': '26933'},Reserva - PR,4121703,26933,-24.595498416535264,-50.95652509084038
"{'id': '4121752', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Reserva do Iguaçu - PR'}",{'2021': '8127'},Reserva do Iguaçu - PR,4121752,8127,-25.867781239786243,-51.96370751929583
"{'id': '4121802', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Ribeirão Claro - PR'}",{'2021': '10622'},Ribeirão Claro - PR,4121802,10622,-23.261683290838462,-49.76275931679495
"{'id': '4121901', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Ribeirão do Pinhal - PR'}",{'2021': '12869'},Ribeirão do Pinhal - PR,4121901,12869,-23.448263265510892,-50.37430324728917
"{'id': '4122008', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rio Azul - PR'}",{'2021': '15433'},Rio Azul - PR,4122008,15433,-25.720882381214093,-50.79262615925716
"{'id': '4122107', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rio Bom - PR'}",{'2021': '3162'},Rio Bom - PR,4122107,3162,-23.797400526281393,-51.43337427869994
"{'id': '4122156', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rio Bonito do Iguaçu - PR'}",{'2021': '13240'},Rio Bonito do Iguaçu - PR,4122156,13240,-25.54661174659278,-52.608522700285754
"{'id': '4122172', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rio Branco do Ivaí - PR'}",{'2021': '4121'},Rio Branco do Ivaí - PR,4122172,4121,-24.346414950110645,-51.336252095757985
"{'id': '4122206', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rio Branco do Sul - PR'}",{'2021': '32635'},Rio Branco do Sul - PR,4122206,32635,-25.076482704405787,-49.347233521203
"{'id': '4122305', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rio Negro - PR'}",{'2021': '34645'},Rio Negro - PR,4122305,34645,-26.094788157044395,-49.68348499091441
"{'id': '4122404', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rolândia - PR'}",{'2021': '68165'},Rolândia - PR,4122404,68165,-23.27127999001911,-51.40920500049168
"{'id': '4122503', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Roncador - PR'}",{'2021': '9447'},Roncador - PR,4122503,9447,-24.565856613631375,-52.26131023756608
"{'id': '4122602', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rondon - PR'}",{'2021': '9664'},Rondon - PR,4122602,9664,-23.47767853998658,-52.80453735250133
"{'id': '4122651', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Rosário do Ivaí - PR'}",{'2021': '4595'},Rosário do Ivaí - PR,4122651,4595,-24.31637047957011,-51.20308558225428
"{'id': '4122701', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Sabáudia - PR'}",{'2021': '6954'},Sabáudia - PR,4122701,6954,-23.34869326322652,-51.58449397639024
"{'id': '4122800', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Salgado Filho - PR'}",{'2021': '3389'},Salgado Filho - PR,4122800,3389,-26.138225472842297,-53.41830937522967
"{'id': '4122909', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Salto do Itararé - PR'}",{'2021': '4862'},Salto do Itararé - PR,4122909,4862,-23.630804093726205,-49.68303943393599
"{'id': '4123006', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Salto do Lontra - PR'}",{'2021': '14957'},Salto do Lontra - PR,4123006,14957,-25.775389406132557,-53.28706044402212
"{'id': '4123105', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Amélia - PR'}",{'2021': '3208'},Santa Amélia - PR,4123105,3208,-23.259081591833272,-50.41010955418625
"{'id': '4123204', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Cecília do Pavão - PR'}",{'2021': '3253'},Santa Cecília do Pavão - PR,4123204,3253,-23.543016727736433,-50.79939611985158
"{'id': '4123303', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Cruz de Monte Castelo - PR'}",{'2021': '7705'},Santa Cruz de Monte Castelo - PR,4123303,7705,-23.084949929060276,-53.36294004811401
"{'id': '4123402', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Fé - PR'}",{'2021': '12330'},Santa Fé - PR,4123402,12330,-23.063072523675945,-51.83876094728573
"{'id': '4123501', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Helena - PR'}",{'2021': '27036'},Santa Helena - PR,4123501,27036,-24.888884104658178,-54.30562784650907
"{'id': '4123600', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Inês - PR'}",{'2021': '1568'},Santa Inês - PR,4123600,1568,-22.712985948128786,-51.897824097107225
"{'id': '4123709', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Isabel do Ivaí - PR'}",{'2021': '8484'},Santa Isabel do Ivaí - PR,4123709,8484,-23.11449745554816,-53.240716248124514
"{'id': '4123808', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Izabel do Oeste - PR'}",{'2021': '14924'},Santa Izabel do Oeste - PR,4123808,14924,-25.78358313495706,-53.42303963982515
"{'id': '4123824', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Lúcia - PR'}",{'2021': '3795'},Santa Lúcia - PR,4123824,3795,-25.383146846509394,-53.55304060867836
"{'id': '4123857', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Maria do Oeste - PR'}",{'2021': '9210'},Santa Maria do Oeste - PR,4123857,9210,-24.909183403652104,-51.92961498343417
"{'id': '4123907', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Mariana - PR'}",{'2021': '11523'},Santa Mariana - PR,4123907,11523,-23.06063241845089,-50.53882093947664
"{'id': '4123956', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Mônica - PR'}",{'2021': '4052'},Santa Mônica - PR,4123956,4052,-23.154352916879308,-53.10919642886796
"{'id': '4124004', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santana do Itararé - PR'}",{'2021': '4916'},Santana do Itararé - PR,4124004,4916,-23.750794233920473,-49.63237260186835
"{'id': '4124020', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Tereza do Oeste - PR'}",{'2021': '10055'},Santa Tereza do Oeste - PR,4124020,10055,-25.03660925470221,-53.60601532297093
"{'id': '4124053', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santa Terezinha de Itaipu - PR'}",{'2021': '23927'},Santa Terezinha de Itaipu - PR,4124053,23927,-25.453852681185523,-54.42956162005632
"{'id': '4124103', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santo Antônio da Platina - PR'}",{'2021': '46503'},Santo Antônio da Platina - PR,4124103,46503,-23.296668104114598,-50.08563861518079
"{'id': '4124202', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santo Antônio do Caiuá - PR'}",{'2021': '2611'},Santo Antônio do Caiuá - PR,4124202,2611,-22.699010912394172,-52.35611832643002
"{'id': '4124301', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santo Antônio do Paraíso - PR'}",{'2021': '2032'},Santo Antônio do Paraíso - PR,4124301,2032,-23.580338498413415,-50.630623385347086
"{'id': '4124400', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Santo Antônio do Sudoeste - PR'}",{'2021': '20354'},Santo Antônio do Sudoeste - PR,4124400,20354,-26.06661338867178,-53.63320716329646
